date,open,high,low,close,volume
2010-11-29,100.0,120.0,100.0,100.0,0
2010-11-30,120.0,144.0,120.0,144.0,13900
2010-12-01,144.0,172.0,144.0,172.0,1660
2010-12-02,200.0,200.0,200.0,200.0,110
2010-12-03,210.0,210.0,210.0,210.0,52
2010-12-06,188.0,215.0,188.0,215.0,915
2010-12-07,230.0,230.0,180.0,200.0,758
2010-12-08,200.0,200.0,200.0,200.0,85
2010-12-09,200.0,200.0,200.0,200.0,85
2010-12-10,205.0,205.0,205.0,205.0,0
2010-12-13,205.0,205.0,205.0,205.0,150
2010-12-14,215.0,215.0,215.0,215.0,3
2010-12-15,220.0,220.0,220.0,220.0,289
2010-12-16,177.0,200.0,177.0,200.0,100
2010-12-17,200.0,200.0,200.0,200.0,100
2010-12-20,160.0,190.0,160.0,190.0,79
2010-12-21,190.0,190.0,190.0,190.0,79
2010-12-22,180.0,180.0,152.0,152.0,940
2010-12-23,140.0,159.0,140.0,159.0,710
2010-12-27,159.0,159.0,159.0,159.0,490
2010-12-28,159.0,159.0,159.0,159.0,490
2010-12-29,130.0,130.0,130.0,130.0,90
2010-12-30,130.0,175.0,131.0,131.0,90
2011-01-03,130.0,130.0,130.0,130.0,90
2011-01-04,156.0,156.0,156.0,156.0,10
2011-01-05,175.0,185.0,175.0,185.0,600
2011-01-06,200.0,200.0,200.0,200.0,10
2011-01-07,178.0,200.0,178.0,200.0,300
2011-01-10,200.0,200.0,200.0,200.0,300
2011-01-11,200.0,200.0,200.0,200.0,300
2011-01-12,200.0,200.0,200.0,200.0,300
2011-01-13,200.0,200.0,200.0,200.0,300
2011-01-14,200.0,200.0,200.0,200.0,300
2011-01-18,200.0,200.0,200.0,200.0,300
2011-01-19,200.0,200.0,200.0,200.0,300
2011-01-20,200.0,200.0,200.0,200.0,300
2011-01-21,200.0,200.0,200.0,200.0,300
2011-01-24,200.0,200.0,200.0,200.0,300
2011-01-25,200.0,200.0,200.0,200.0,300
2011-01-26,200.0,200.0,200.0,200.0,300
2011-01-27,200.0,200.0,200.0,200.0,300
2011-01-28,200.0,200.0,200.0,200.0,300
2011-01-31,200.0,200.0,200.0,200.0,300
2011-02-01,200.0,200.0,200.0,200.0,300
2011-02-02,180.0,200.0,180.0,200.0,6020
2011-02-03,200.0,200.0,200.0,200.0,0
2011-02-04,199.0,200.0,199.0,200.0,3544
2011-02-07,190.0,190.0,190.0,190.0,600
2011-02-08,190.0,200.0,190.0,200.0,600
2011-02-09,200.0,200.0,200.0,200.0,0
2011-02-10,200.0,200.0,200.0,200.0,0
2011-02-11,200.0,200.0,200.0,200.0,0
2011-02-14,200.0,200.0,200.0,200.0,0
2011-02-15,200.0,200.0,200.0,200.0,0
2011-02-16,200.0,200.0,200.0,200.0,0
2011-02-17,200.0,200.0,200.0,200.0,0
2011-02-18,200.0,200.0,200.0,200.0,0
2011-02-22,200.0,200.0,200.0,200.0,0
2011-02-23,200.0,200.0,200.0,200.0,0
2011-02-24,200.0,200.0,200.0,200.0,0
2011-02-25,200.0,200.0,200.0,200.0,0
2011-02-28,200.0,200.0,200.0,200.0,0
