date,volume,open_pct_change,high_pct_change,low_pct_change,close_pct_change,target_pct_change
2016-01-05,2816800,-0.16251713914366972,0.8382511175190288,1.466868030405677,0.18891024322880146,0.18891024322880146
2016-01-06,2677300,-0.8053396896309462,-1.051817668687216,-1.4714648154734777,-1.019877028940297,-1.019877028940297
2016-01-07,5277200,-1.8569868103165077,-2.19461895149371,-2.6899731577980535,-2.943994396252958,-2.943994396252958
2016-01-08,4422400,-1.1264506103911276,-0.9553714752595699,-1.4898432755442004,-1.7218128381067066,-1.7218128381067066
2016-01-11,4525800,-1.6377408712889063,-2.1061971370894828,-1.4303981912256347,-0.5265134998635457,-0.5265134998635457
2016-01-12,4037800,-0.13573848111398945,2.269021239284852,1.7191954011551047,2.4456991558646335,2.4456991558646335
2016-01-13,3434300,1.8575708857726747,-0.07954042485921464,-1.0177109529828643,-2.6990797054528004,-2.6990797054528004
2016-01-14,4238200,-3.264864899410369,-1.096981266080066,-1.3036140568265853,1.4006859285467188,1.4006859285467188
2016-01-15,6357000,0.3126686700553938,-1.028631192015328,0.2604323383235796,-1.3452632183233892,-1.3452632183233892
2016-01-19,7122800,2.2094107585171496,3.172193449401428,1.679215428404457,3.02922562359782,3.02922562359782
2016-01-20,8380700,0.5381499773708498,1.3840036652182697,0.5018140916909442,1.963033939898362,1.963033939898362
2016-01-21,5413900,2.301732495569331,-0.2246279607607704,1.9155791276194822,-1.1237834033720806,-1.1237834033720806
2016-01-22,3622200,-2.70005063862655e-06,-0.28576803824904573,1.4519812464926396,0.7312764265081428,0.7312764265081428
2016-01-25,2908500,-0.13082738663918736,0.13892980357073093,-0.9131784100076978,-0.8309477974937751,-0.8309477974937751
2016-01-26,4592500,-1.40583459579543,-0.979937279344445,-0.9658532759047378,0.5115835109791966,0.5115835109791966
2016-01-27,4720300,1.3461974857935433,0.5517535667637352,0.07157238817780964,-1.4303283494920827,-1.4303283494920827
2016-01-28,3525600,-1.8701314218860787,-1.358757534634103,-1.0997745793949742,-0.8457194240980237,-0.8457194240980237
2016-01-29,5280800,-0.32062356960640415,1.6865123768507795,0.009018045647168904,3.393767378863477,3.393767378863477
2016-02-01,4333500,2.590925951220391,0.8596908503410772,3.15496251946612,0.6339161216615485,0.6339161216615485
2016-02-02,2997700,0.1045037213620148,-0.6543225082817572,-0.7361296555432606,-1.7343996025792396,-1.7343996025792396
2016-02-03,3462300,-0.5045359648371384,-0.8839297365321186,-2.622022270595814,-0.9922441007273908,-0.9922441007273908
2016-02-04,3608300,-1.4864381899119206,0.15735323847263505,1.5774824926013675,1.2859970327271153,1.2859970327271153
2016-02-05,3330800,1.2425481416407758,-0.29683679035827915,-1.0175127730336242,-2.17164438401235,-2.17164438401235
2016-02-08,5050200,-3.129619883806689,-2.705501989656478,-1.8665085687603389,-1.521627676249493,-1.521627676249493
2016-02-09,3680200,-1.0226612293155024,1.0438727899538813,0.2848058804402198,1.0361415546842556,1.0361415546842556
2016-02-10,3023200,1.7921088446762434,1.9594191931813665,2.0066271411262937,1.421397033913685,1.421397033913685
2016-02-11,3955000,-0.008978988122509968,-2.4371025382191047,-1.113805540808399,-1.8804234215180515,-1.8804234215180515
2016-02-12,2552100,-0.10783107690505167,0.1969434915825241,0.10897288814872841,1.0847603656436888,1.0847603656436888
2016-02-16,3445700,1.2859771210564475,3.002411965738161,2.105077509094988,2.9780076850066672,2.9780076850066672
2016-02-17,4466000,2.548169848670301,2.7066918916894833,2.3726997952551176,2.7355643851978195,2.7355643851978195
2016-02-18,3847100,2.5974017316082953,1.3599118219454809,1.6145830484237234,-0.7185182356043152,-0.7185182356043152
2016-02-19,4481400,-0.8438770711796995,-1.2083260224300507,-0.8884292994974285,0.19583571072716577,0.19583571072716577
2016-02-22,5054800,1.3617139492158703,3.0282682877925016,2.534061303705526,3.050656038129773,3.050656038129773
2016-02-23,2804400,1.2930439443397779,-0.27835418262074363,1.1012205169422362,-0.09893679984475101,-0.09893679984475101
2016-02-24,2559700,-0.5885203942614603,-1.2151027989607877,-2.0287577427854364,-0.7841489583520489,-0.7841489583520489
2016-02-25,2281700,0.22509269053678782,0.7562835085691111,1.6888356022225492,0.8319107231363754,0.8319107231363754
2016-02-26,2877500,1.0649092814097427,0.8496356999407206,0.8930179787325798,0.10727671883499212,0.10727671883499212
2016-02-29,4526300,-0.31281036539193563,-0.3598884151781556,-1.5882168815990805,-1.837963018014066,-1.837963018014066
2016-03-01,3295600,-1.3294983834073126,0.32833616367922147,0.3362020947390132,2.157831583812686,2.157831583812686
2016-03-02,2670900,1.45621485338836,-0.3108976813483433,0.8377527011795172,-0.32873832449251683,-0.32873832449251683
2016-03-03,3064100,-0.30523516836328257,0.01639045850732046,-0.23264936849738405,0.45350782532525,0.45350782532525
2016-03-04,2873900,0.38062377254117763,0.27082291343711873,0.5412809109825556,-0.01639611190885626,-0.01639611190885626
2016-03-07,2315400,-0.1978421075964909,0.45009485170515173,0.1324991886073157,-0.03286143751092263,-0.03286143751092263
