Symbol
AAPL
NVDA
MSFT
AMZN
META
GOOGL
TSLA
BRK.B
GOOG
AVGO
JPM
LLY
UNH
XOM
V
MA
COST
HD
PG
JNJ
WMT
NFLX
BAC
CRM
ORCL
ABBV
CVX
WFC
MRK
KO
CSCO
AMD
ADBE
ACN
PEP
LIN
MCD
NOW
DIS
PM
ABT
GE
IBM
TMO
INTU
TXN
ISRG
CAT
GS
QCOM
VZ
BKNG
MS
CMCSA
T
SPGI
AXP
RTX
NEE
LOW
PGR
AMGN
HON
DHR
BLK
UBER
UNP
ETN
AMAT
PFE
TJX
SYK
BSX
COP
BX
C
PANW
PLTR
FI
SCHW
ADP
VRTX
TMUS
BMY
SBUX
LMT
MDT
GILD
MMC
CB
MU
PLD
INTC
BA
ADI
DE
KKR
UPS
SO
MO
ANET
ELV
AMT
TT
LRCX
ICE
CI
NKE
GEV
PH
DUK
SHW
PYPL
EQIX
MDLZ
APH
KLAC
AON
PNC
CME
MSI
REGN
CDNS
CMG
SNPS
ZTS
MCK
WM
WELL
CRWD
USB
EOG
CL
CTAS
EMR
MCO
GD
ITW
APD
TGT
CEG
MMM
ORLY
WMB
CVS
TDG
COF
CSX
NOC
FDX
MAR
OKE
ADSK
BDX
AJG
GM
TFC
FCX
HCA
ECL
CARR
SLB
HLT
TRV
NSC
ROP
SRE
PCAR
FTNT
ABNB
BK
AFL
DLR
NXPI
JCI
FICO
AMP
URI
SPG
PSX
RCL
AZO
KMI
MPC
PSA
ALL
GWW
AEP
VST
CMI
CPRT
O
AIG
MET
NEM
D
PWR
FIS
DHI
ROST
FAST
MSCI
LHX
HWM
VLO
KMB
CCI
PAYX
KVUE
PRU
TEL
PCG
AME
PEG
F
TRGP
DFS
AXON
BKR
RSG
COR
EW
IR
HES
LEN
DAL
OTIS
ODFL
IT
CBRE
VRSK
CTVA
EA
EXC
DELL
XEL
KR
CTSH
GEHC
YUM
MNST
CHTR
STZ
SYY
A
VMC
HPQ
ACGL
MTB
GLW
LULU
MLM
RMD
KDP
MCHP
GIS
NUE
EXR
HIG
IDXX
OXY
WAB
DD
FANG
IRM
VICI
ED
IQV
NDAQ
HUM
AVB
EIX
GRMN
ROK
ETR
WTW
FITB
WEC
DOW
CNC
DXCM
EFX
RJF
CSGP
EBAY
TSCO
TTWO
XYL
UAL
GPN
ANSS
CAH
PPG
STT
MPWR
ON
HPE
DOV
KHC
NVR
CHD
DECK
HAL
PHM
AWK
BR
KEYS
TROW
VTR
SW
EQT
FTV
GDDY
BRO
HBAN
TYL
VLTO
EQR
CPAY
SYF
ADM
HSY
PPL
DTE
MTD
CCL
AEE
NTAP
DVN
RF
HUBB
SBAC
CDW
CINF
ZBH
BIIB
ATO
PTC
WY
EXPE
WST
ES
IFF
NTRS
TDY
LYB
K
CBOE
LDOS
FE
STE
PKG
WBD
WAT
WDC
CLX
FSLR
CFG
BLDR
LYV
CMS
STX
CNP
STLD
IP
LH
ZBRA
COO
DRI
INVH
ESS
LUV
CTRA
NRG
OMC
SNA
MKC
MAA
BALL
FDS
TSN
PFG
HOLX
WRB
PODD
DGX
KEY
J
PNR
BBY
LVS
GPC
IEX
MOH
TRMB
TER
EXPD
DG
KIM
ULTA
BAX
MAS
NI
ARE
MRO
EG
ALGN
AVY
GEN
LNT
CF
TXT
DPZ
VTRS
L
EL
VRSN
JBHT
DOC
EVRG
AMCR
JBL
ROL
APTV
FFIV
POOL
NDSN
RVTY
DLTR
SWKS
MRNA
UDR
SWK
EPAM
AKAM
TPR
BG
CHRW
CPT
CAG
JKHY
INCY
HST
ALB
EMN
ALLE
REG
KMX
DAY
UHS
SJM
JNPR
AIZ
NCLH
BXP
LW
GNRC
TAP
SMCI
NWSA
PAYC
CTLT
TECH
PNW
IPG
ERIE
FOXA
MKTX
LKQ
GL
AES
CRL
HSIC
SOLV
TFX
AOS
MGM
CPB
HRL
FRT
WYNN
ENPH
RL
APA
MOS
HAS
CE
CZR
MTCH
IVZ
BWA
HII
BF.B
DVA
MHK
FMC
BEN
PARA
QRVO
WBA
FOX
NWS
AMTM
